pl_name,hostname,sy_dist,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_spectype,st_teff,st_mass,disc_year
"HD 110067 e","HD 110067",32.15850000,1.94000000,3.90000000,30.79309100000,533.00,"K0.0 V",5266.00,0.798000,2023
"HD 110067 c","HD 110067",32.15850000,2.38800000,6.30000000,13.67369400000,699.00,"K0.0 V",5266.00,0.798000,2023
"HD 147018 c","HD 147018",40.42560000,12.70000000,2080.00000000,1008.00000000000,,"G9 V",5441.00,0.927000,2009
"GJ 2126 b","GJ 2126",38.12900000,13.60000000,413.17692910,272.70000000000,,"M0 V",4159.00,0.650000,2025
"HD 1605 b","HD 1605",88.80470000,13.80000000,296.85322000,577.20000000000,,"K1 IV",4915.00,1.330000,2015
"alf Tau b","alf Tau",20.43320000,12.70000000,2056.36010000,628.96000000000,,"K5 III",4055.00,1.130000,2015
"mu Leo b","mu Leo",32.60810000,13.30000000,762.80000000,357.80000000000,,"K2 III",4538.20,1.500000,2014
"HD 20794 d","HD 20794",6.00278000,2.04000000,4.80000000,89.68000000000,388.00,"G6 V",5368.00,0.790000,2011
"HD 39194 c","HD 39194",26.41310000,2.65000000,7.49000000,14.03090000000,,"K0 V",5205.00,0.860000,2021
"HD 108874 c","HD 108874",59.51750000,13.80000000,314.64000000,1624.00000000000,,"G5",5551.00,0.950000,2005
"HD 41004 A b","HD 41004 A",36.69117000,13.20000000,807.25000000,963.00000000000,,"K1/K2 V",5310.00,0.950000,2004
"TOI-238 c","TOI-238",80.54070000,2.18000000,6.70000000,8.46565100000,696.00,"K2V",5059.00,0.790000,2024
"HD 181720 b","HD 181720",60.20460000,14.00000000,127.13200000,956.00000000000,,"G1 V",5736.00,1.030000,2009
"HIP 91258 b","HIP 91258",45.88460000,13.70000000,346.43470000,5.05050000000,,"G5 V",5519.00,0.970000,2013
"HD 142022 A b","HD 142022 A",34.28020000,12.90000000,1433.40611557,1928.00000000000,,"G9 IV-V",5421.00,0.900000,2005
"GJ 896 A b","GJ 896 A",6.26022000,13.30000000,718.29219982,284.39000000000,,"M3.5 V",3345.00,0.435990,2022
"HD 168009 b","HD 168009",23.30320000,3.05000000,9.53485221,15.14790000000,,"G2V",5778.33,0.986073,2021
"HD 98736 b","HD 98736",32.44590000,13.30000000,740.54390000,968.80000000000,,"G5",5271.00,0.920000,2018
"HD 34445 b","HD 34445",46.09070000,13.90000000,260.62060000,1049.00000000000,,"G0 V",5879.00,1.140000,2009
"GJ 3222 b","GJ 3222",18.23817000,3.40000000,11.44182265,10.66669000000,,"K0V",5257.46,0.890000,2022
"TOI-544 c","TOI-544",41.11660000,4.92000000,21.50000000,50.08900000000,,,4169.00,0.631000,2023
"HD 48265 b","HD 48265",90.54460000,12.60000000,2351.93021180,778.51000000000,,"G5 IV/V",5733.00,1.312000,2008
"HD 20794 e","HD 20794",6.00278000,2.03000000,4.77000000,147.02000000000,,"G8",5401.00,0.813000,2017
"2MASS J21252752-8138278 b","2MASS J21252752-8138278",34.11540000,12.40000000,3813.94088400,,1616.00,,3592.00,0.643977,2024
"HD 18143 b","HD 18143",22.52430000,3.28000000,10.80616584,10.28510000000,,"K2",5078.00,0.850000,2022
"BD+60 1417 b","BD+60 1417",44.95430000,14.68376472,4767.42610500,,1303.00,"K0",4993.00,1.000000,2021
"GJ 9827 c","GJ 9827",29.66100000,1.13000000,1.86000000,3.64810300000,715.94,"K7 V",4236.00,0.620000,2017
"GJ 273 c","GJ 273",5.92153500,1.06000000,1.18000000,4.72340000000,,"M3.5",3382.00,0.290000,2017
"Kepler-446 c","Kepler-446",96.33900000,1.11000000,1.41000000,3.03617900000,520.00,"M4",3359.00,0.220000,2015
"HD 2039 b","HD 2039",85.69220000,12.70000000,1999.15070000,1120.00000000000,,"G2/G3 IV/V",5945.00,1.230000,2002
"HD 38529 c","HD 38529",42.35380000,12.50000000,3299.05886466,2127.60566000000,,"G4 IV",5697.00,0.980000,2000
"TOI-904 b","TOI-904",46.08910000,2.42600000,6.46000000,10.87720000000,429.43,,3770.20,0.557000,2023
"TOI-904 c","TOI-904",46.08910000,2.16700000,5.34000000,83.99970000000,217.26,,3770.20,0.557000,2023
"TOI-4860 b","TOI-4860",80.14230000,8.70000000,86.70000000,1.52275910000,694.00,"M3.5 V",3260.00,0.340000,2023
"LHS 1678 c","LHS 1678",19.87820000,0.94100000,1.40000000,3.69428400000,510.90,"M2.0 V",3490.00,0.345000,2021
"LHS 1140 b","LHS 1140",14.98610000,1.73000000,5.60000000,24.73723000000,226.00,"M4.5 V",3096.00,0.184400,2017
"LHS 1140 c","LHS 1140",14.98610000,1.27200000,1.91000000,3.77794000000,422.00,"M4.5 V",3096.00,0.184400,2018
"HD 39194 d","HD 39194",26.41310000,2.12000000,5.16000000,33.87400000000,,"K0 V",5205.00,0.860000,2021
"HD 89839 b","HD 89839",57.30630000,12.80000000,1748.05623850,3391.20000000000,,"F7 V",6314.00,1.210000,2023
"HD 104067 b","HD 104067",20.36320000,9.20000000,62.10000000,55.85100000000,,"K2V",4952.00,0.820000,2009
"TOI-4438 b","TOI-4438",30.03460000,2.52000000,5.40000000,7.44628000000,435.00,"M3.5 V",3422.00,0.368000,2024
"HD 104067 c","HD 104067",20.36320000,3.69000000,13.20000000,13.89920000000,,"K2V",4952.00,0.820000,2024
"LHS 1678 d","LHS 1678",19.87820000,0.98100000,0.90700000,4.96522290000,462.95,"M2.0 V",3490.00,0.345000,2024
"HD 93083 b","HD 93083",28.51590000,13.40000000,117.59000000,143.58000000000,,"K3 V",4995.00,0.700000,2005
"HD 88986 b","HD 88986",33.26730000,2.49000000,17.20000000,146.05000000000,460.00,"G2 V",5861.00,1.250000,2023
"TOI-1136 c","TOI-1136",84.53620000,2.87900000,6.32000000,6.25740000000,1062.00,,5770.00,1.022000,2022
"HD 331093 b","HD 331093",50.19280000,13.60000000,476.74261050,621.62000000000,,"K0",5544.00,1.030000,2021
"TOI-815 b","TOI-815",59.71170000,2.94000000,7.60000000,11.19725900000,686.00,"K3 V",4869.00,0.776000,2024
"HD 179949 b","HD 179949",27.45730000,13.90000000,291.12000000,3.09251400000,,"F8 V",6168.00,1.210000,2000
"TOI-871 b","TOI-871",68.04730000,1.66400000,3.41000000,14.36256500000,621.00,,4929.00,0.758000,2024
"TOI-2068 b","TOI-2068",52.93280000,1.82100000,3.97000000,7.76891500000,520.62,,3710.00,0.559000,2024
